FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	expr_LNPEP
HG00339	HG00339	0.032201	0.0657889	-0.0022124	-0.0363267	-0.0582904	0.00600218	0.0143903	0.0231607	0.00424582	-0.00901976	9.43608277535311
HG00341	HG00341	-0.0618061	0.0660551	0.0714492	-0.0480778	0.0205537	-0.0112416	-0.0119728	-0.0138746	0.0581759	-0.0401736	15.6127718563856
HG00342	HG00342	0.0387478	0.0814008	-0.014151	-0.0514021	-0.0646772	0.0119662	-0.00508948	-0.0167859	0.00609328	-0.0673569	9.72562315961631
HG00343	HG00343	0.0424524	0.0772103	-0.0273044	-0.0532749	-0.0413034	0.00869264	-0.00200939	0.0151885	-0.0130072	-0.0529732	12.1122353095619
HG00344	HG00344	0.0343813	0.0347701	0.0131834	0.000920473	-0.0292861	-0.0167683	0.0116143	0.00808524	-0.00640131	-0.0317648	11.2088477834499
HG00345	HG00345	0.0362489	0.0741541	-0.0203548	-0.0383091	-0.0401088	0.0310684	-0.00599078	0.0685729	-0.0213421	0.0396687	18.3284630101894
HG00346	HG00346	0.0334626	0.058457	-0.0142857	-0.0382464	-0.0514251	-0.00418036	0.00249735	0.0141252	0.0198971	-0.0436487	11.5178472356278
HG00349	HG00349	-0.15825	0.109757	0.006411	-0.0453994	0.028189	0.0244715	0.0719895	0.0346796	0.0472085	0.0656153	13.2060314417582
HG00350	HG00350	-0.160092	0.0641506	-0.0227181	0.0114436	0.0187104	0.0080544	-0.0111779	-0.0179586	0.0397214	-0.0198906	12.3268311814981
HG00351	HG00351	-0.16152	0.107648	-0.00357173	-0.0491411	0.0342901	-0.000925079	0.0184052	-0.00872069	0.0289927	-0.0253515	14.5093162053573
HG00353	HG00353	0.0421869	0.0725216	-0.0109247	-0.031876	-0.0221743	0.0239734	0.0125005	0.0426285	-0.0117531	0.00505632	12.2918751664903
HG00355	HG00355	-0.160757	0.0923728	0.00786583	-0.0265915	0.029935	-8.18493e-05	0.0399382	-0.0626305	0.0199583	-0.00635132	11.1286959371366
HG00356	HG00356	-0.159461	0.0989406	0.00500149	-0.0356411	0.0158592	0.0129984	0.0421174	0.0349506	0.028164	-0.021229	14.8694947071882
HG00358	HG00358	-0.144941	0.130948	-0.00684849	-0.070441	0.025968	0.0119872	0.0412533	-0.0609692	-0.00119001	-0.0091713	8.55005601831078
HG00359	HG00359	-0.16735	0.0948726	-0.00607545	-0.0300928	0.016474	0.0279809	0.0179348	-0.00982546	0.0653778	-0.0129776	12.2756532500087
HG00360	HG00360	-0.168299	0.0902328	-0.00895354	-0.0200707	0.0121261	0.0087377	-0.00466286	-0.0478581	0.0604183	-0.0131481	10.7591767429079
HG00361	HG00361	0.0588021	0.101884	-0.0419878	-0.0327995	0.0546765	-0.0037959	-0.0271991	-0.0194891	-0.0514733	-0.0882727	10.7596177721844
HG00362	HG00362	-0.123498	0.101132	0.0882935	-0.0405291	0.0170158	-0.0181852	-0.0305237	-0.0123769	0.0783354	0.000981242	11.7155918973085
HG00364	HG00364	-0.153104	0.106423	0.0174624	-0.0455687	0.0292797	0.0074645	-0.0010161	-0.0324013	0.0333477	-0.0814902	11.4274836973031
HG00366	HG00366	0.0522397	0.0767171	-0.0242458	-0.0261877	0.0507012	-0.00800151	0.00622286	-0.0444169	0.0210924	-0.0434863	13.5320655033183
HG00367	HG00367	0.0535443	0.0700926	-0.0209333	-0.0188729	0.0575334	0.0163871	-0.02414	-0.0639332	-0.031528	0.0110462	13.4980175499441
HG00369	HG00369	0.0583063	0.0866148	-0.0397843	-0.0243511	0.0663914	0.00723224	-0.00025267	-0.0252018	-0.0194461	0.0234539	13.8193057958954
HG00372	HG00372	0.0527666	0.0739014	-0.033516	-0.017978	0.0305006	0.0023379	0.00841351	0.00209001	0.000258987	-7.26439e-05	15.5249578444141
HG00373	HG00373	0.052328	0.0867369	-0.0353666	-0.0431429	0.0414276	-0.0136011	0.004421	-0.0184075	0.00411059	0.0516769	11.1753170538863
HG00375	HG00375	0.0474703	0.0817051	-0.0180089	-0.0381196	-0.027504	-0.00248724	0.00814885	-0.0439833	0.0113508	0.0191971	12.9504587681739
HG00376	HG00376	-0.0587634	0.0847698	0.0640512	-0.0365299	-0.000509322	0.0165555	-0.0206855	0.053494	0.0157588	-0.0232427	10.8947009458399
HG00377	HG00377	0.0590768	0.0863737	-0.0382006	-0.0439785	0.0625279	-0.0125427	-0.00289847	-0.00149817	0.00536934	-0.000717148	12.5951662520447
HG00378	HG00378	-0.070297	0.101921	0.0709029	-0.0582369	0.0142419	0.000475351	-0.0278497	0.0408273	-0.0190287	-0.076655	12.2479993286478
HG00381	HG00381	-0.0625642	0.102384	0.0789698	-0.0610041	0.0138416	-0.00813558	-0.0366155	0.0230823	0.0189733	-0.0131728	13.4750703242721
HG00382	HG00382	-0.0657829	0.111035	0.0626522	-0.0721574	0.00159861	-0.00424889	-0.0153491	0.0660186	0.0372993	-0.0244886	12.4858769368046
HG00383	HG00383	-0.0556003	0.111807	0.0596045	-0.0862835	0.00367819	0.00285038	-0.0283746	0.0108591	-0.00750512	-0.0672809	10.7670613655944
HG00384	HG00384	-0.109788	0.111606	0.0949174	-0.063099	0.0493684	0.0082759	-0.0138259	0.0174655	0.0506844	0.0191746	10.5585399144281
HG01334	HG01334	0.0331526	-0.00487782	0.0301563	0.0465233	-0.000144517	-0.0239411	-0.0279777	0.0191718	-0.0328176	0.0254241	17.6845830112193
NA06984	NA06984	0.0330903	-0.0127791	0.0503363	0.0391915	0.0103751	-0.00294754	-0.00672512	-0.0812162	0.0427248	0.086664	13.1446849454993
NA06986	NA06986	0.0112844	-0.019098	0.0424335	0.0314386	-0.0863765	0.00565882	-0.00147848	-0.0417321	-0.0271275	-0.0103184	11.4544022317986
NA06989	NA06989	0.033331	-0.00956139	0.0410714	0.038279	-0.00706193	0.00520678	0.0223492	-0.049524	-0.00946272	0.0789436	14.22854459583
NA06994	NA06994	0.000559974	-0.0159388	0.0340038	0.0204244	-0.0926872	-0.0116208	0.00103515	0.0307688	0.0419916	0.0365768	12.2379639160366
NA07037	NA07037	0.00517138	-0.0284841	0.0386613	0.00584978	-0.100995	0.0203024	-0.0122039	-0.0458037	0.0291343	-0.0176825	11.2416898640325
NA07048	NA07048	0.0286487	-0.0111141	0.0427198	0.0433181	-0.00716781	-0.0296958	-0.0178728	-0.0381547	0.0129502	-0.0190923	12.0642526349984
NA07051	NA07051	0.0148502	-0.0147992	0.0442665	0.021631	-0.0773548	0.00330083	0.00224197	-0.0436935	0.0330481	-0.00721769	12.071626070503
NA07056	NA07056	-0.0186468	-0.021704	-0.0406197	0.0488052	-0.0417684	0.00691307	0.0170233	-0.0513957	-0.0116646	-0.052726	11.3794580098846
NA07347	NA07347	0.0356401	-0.0152898	0.0153347	0.0554708	0.0482493	-0.0293166	-0.0880332	0.110237	0.15697	0.00698517	12.7947983554071
NA07357	NA07357	-0.0421921	-0.0318195	-0.076263	0.0282503	-0.100137	0.0125592	0.023881	0.0355311	-0.0449008	0.0572837	13.9208089861476
NA10847	NA10847	0.00664367	-0.0173279	0.0202863	-0.00116284	-0.109019	0.00650345	0.00332398	0.00310854	-0.00195921	-0.00801561	13.54520907669
NA10851	NA10851	-0.0468339	-0.0207306	-0.0393314	0.0247098	-0.152289	0.0416169	0.0286741	-0.00810139	-0.0131536	0.0699201	15.7212031053085
NA11829	NA11829	-0.0417191	-0.00877427	-0.0582916	0.0452019	-0.101364	0.00998965	0.0360523	-0.0616535	-0.000675489	-0.0153529	14.1929252847931
NA11830	NA11830	-0.0304651	-0.0151037	-0.0576383	0.0353606	-0.05994	0.0182533	0.0391199	-0.00344117	-0.038311	0.0257265	9.24828112917582
NA11831	NA11831	-0.0398131	-0.0244157	-0.0503309	0.0346531	-0.0821197	0.0154556	0.0192575	0.0243825	-0.0252706	-0.00509423	10.9983894255599
NA11843	NA11843	0.0375302	-0.00834137	0.0471182	0.0406003	0.0133263	-0.0164013	-0.0187277	-0.0748604	0.0034107	-0.0492071	15.2709287239815
NA11892	NA11892	0.0231908	-0.0155499	0.0324066	0.0181244	-0.00940568	-0.0162327	-0.026262	-0.0468093	-0.0136081	-0.0269645	12.9426280490963
NA11893	NA11893	0.0206549	-0.0179898	0.0314382	0.0229278	-0.0466715	-0.00595128	-0.0332766	-0.041139	-0.0130014	-0.0262098	9.48933434955042
NA11894	NA11894	0.0311496	-0.00684821	0.0046463	0.081734	0.0157903	-0.0281551	-0.103064	0.149949	0.122288	0.0255592	13.8356779700157
NA11920	NA11920	0.0169643	-0.0202129	0.029713	0.0114693	-0.0672421	0.00867596	0.0224494	-0.0186632	0.0376124	0.060348	14.1032327400071
NA11930	NA11930	0.00931653	-0.0229591	0.0303973	-0.00177346	-0.053567	0.0169041	0.0300691	-0.0224737	0.0410127	-0.0108008	14.1936879689044
NA11931	NA11931	0.0307504	-0.00838034	0.00231044	0.0683846	0.011203	-0.0377093	-0.120877	0.142901	0.0749788	-0.0691774	13.8877271743943
NA11992	NA11992	-0.0418133	-0.0254762	-0.0687721	0.0398528	-0.0557277	0.0137948	0.0475558	0.030312	0.0285504	0.0213877	14.9021546260348
NA11993	NA11993	-0.0644796	-0.0223994	-0.0926399	0.051345	-0.0949158	0.0115958	-0.00176866	-0.00767315	0.00192438	0.0301012	12.3247337968873
NA11994	NA11994	0.00324904	-0.0159401	-0.0188174	0.0551518	-0.0386183	-0.00161419	-0.000691823	-0.0923607	-0.05873	-0.0284018	13.1248459518262
NA11995	NA11995	-0.0701396	-0.0234845	-0.0759458	0.0372036	-0.102579	0.00176621	-0.000575489	-0.0184369	-0.0247601	-0.0182046	10.1534044387225
NA12004	NA12004	-0.0516686	-0.026429	-0.0739073	0.0301774	-0.0963121	0.012694	0.0120123	0.00325245	-0.028399	-0.0146965	11.3211950697483
NA12006	NA12006	-0.0702315	-0.0213173	-0.0711474	0.0321799	-0.073107	0.0104643	-0.00527343	0.00520414	0.00249371	-0.0202662	10.927204448295
NA12043	NA12043	-0.0273557	-0.0184899	-0.0958263	0.077535	-0.0105319	-0.012403	-0.0820338	0.0416393	0.0587832	-0.00222165	10.8351011190002
NA12044	NA12044	-0.049511	-0.025716	-0.0444216	0.0298454	-0.110373	0.0213778	-0.0238401	-0.010103	-0.0446384	-0.0659955	19.0475015547055
NA12045	NA12045	0.0326166	-0.014058	0.0216059	0.0595801	0.0262238	-0.0203589	-0.106744	0.0950137	0.118473	-0.0822368	13.9641437193574
NA12058	NA12058	0.0381689	-0.00851377	0.0445656	0.0452918	0.0183207	0.00625381	0.00430614	-0.0556989	-0.00517461	0.020173	9.25168988580161
NA12144	NA12144	-0.0483196	-0.0325986	-0.0832363	0.00772362	-0.102917	0.0220055	0.00564645	0.00869897	-0.00431274	0.0175154	11.0280426175182
NA12154	NA12154	-0.0150169	-0.0197332	-0.0403572	0.0410358	-0.0724595	0.0199834	0.0509999	-0.0291707	-0.00485861	0.06854	13.2562891185072
NA12155	NA12155	-0.0190056	-0.0186081	-0.0530263	0.0634476	-0.0428895	0.0183479	0.03937	-0.0497764	-0.0232314	0.0378211	11.7948927452293
NA12249	NA12249	0.0357912	0.00453491	0.00227331	0.0759678	0.0217613	-0.0432778	-0.144935	0.116108	0.124625	0.0255972	14.577658154531
NA12272	NA12272	0.0422453	-0.00781765	0.0163733	0.056706	0.0630779	-0.0279219	-0.0535197	0.00283574	-0.0635606	-0.0467438	12.5439259663249
NA12273	NA12273	0.0416004	-0.011133	0.0175249	0.0332151	0.0723181	-0.0633302	-0.0361747	-0.00427175	-0.0500815	-0.000388568	8.22208431688322
NA12275	NA12275	0.0322246	-0.00589892	0.0160074	0.0394208	0.0266009	-0.014809	-0.0167852	0.0125161	0.00641542	-0.0641352	10.4724974074563
NA12282	NA12282	-0.00925497	-0.0291903	0.0245556	-0.0243546	-0.0859363	0.0155951	0.0176126	-0.019905	0.0224752	0.101689	13.3359442474308
NA12283	NA12283	-0.000941973	-0.0289612	0.0373978	-0.00306426	-0.083665	0.0327278	0.0105119	-0.0500889	0.0123056	0.0255834	15.0850255407985
NA12286	NA12286	-0.00972507	-0.0185599	0.0334969	-0.0475917	-0.103626	-0.0100721	0.0274633	-0.0951287	0.042315	0.0633215	10.7310789703472
NA12287	NA12287	0.032623	-0.0145092	0.00244587	0.0659903	0.0114514	-0.0636858	-0.0821986	0.0781091	0.0903149	0.0341409	10.9782639191855
NA12340	NA12340	0.0264033	-0.0195489	0.0378195	0.026826	-0.0102897	-0.00618459	0.0183872	0.0340672	0.0863042	0.0378975	13.2143099582394
NA12341	NA12341	0.0190389	-0.0153084	0.0366355	0.035901	-0.0344477	-0.0118391	-0.00276683	-0.0925329	0.0296252	-0.0386501	12.5200650823632
NA12342	NA12342	0.0390981	-0.0112159	0.0275697	0.0544943	0.00374747	0.00191725	0.0766258	0.00515929	0.0708051	0.12147	11.5522188434835
NA12347	NA12347	0.0145443	-0.012948	0.0361086	0.00961094	-0.0635866	-0.0240703	-0.0348129	-0.00761316	-0.0208972	0.0282437	15.1358045686516
NA12348	NA12348	0.0186091	-0.0177608	0.041047	0.00984702	-0.0454124	-0.0123805	-0.0337828	-0.0307884	-0.0329785	-0.0413924	10.1520789053506
NA12383	NA12383	0.0218354	-0.0214701	0.0307318	0.00605069	-0.0268068	0.00941086	-0.0195377	0.011361	-0.053645	-0.0760289	13.8921514571116
NA12399	NA12399	0.0277078	-0.0181771	0.0388037	0.0383488	-0.0322595	-0.0105875	-0.00215363	-0.0707931	-0.0424381	-0.017905	9.12260343499746
NA12400	NA12400	0.0231818	-0.018065	0.0305825	0.0307994	-0.0316193	0.0171293	-0.0250828	-0.0521568	-0.0267518	-0.00973691	14.4707626044211
NA12413	NA12413	0.00926847	-0.0271887	0.0436181	-0.0170389	-0.0634662	0.0123146	-0.0231551	-0.00139655	-0.0198383	-0.0238186	14.1591436405014
NA12489	NA12489	-0.0559238	-0.0257797	-0.0722595	0.0513518	-0.0955044	0.00761685	0.0171973	0.00263026	-0.0162453	0.0284559	12.3191517520038
NA12546	NA12546	0.0137346	-0.0221216	0.0390336	-0.0012064	-0.0612408	-0.00403863	0.0441846	-0.0523952	0.0590379	0.0430429	17.3089176881187
NA12716	NA12716	2.97223e-05	-0.0211911	0.0293211	0.00564433	-0.125963	0.0260402	-0.026737	-0.00272378	0.0498253	0.0732062	12.0573861742158
NA12717	NA12717	0.000297883	-0.0198333	0.0312539	0.0063461	-0.113373	0.0143846	0.0291436	0.0542555	0.0109215	-0.0420062	14.1433307822956
NA12718	NA12718	0.0494804	0.00177271	0.0111564	0.0595011	0.0910489	-0.0386187	-0.0146473	-0.0562133	-0.0164154	0.000319127	13.4106124208166
NA12749	NA12749	0.00948334	-0.0217814	0.0210758	0.00822784	-0.111101	-0.000224047	-0.0350996	0.0181725	0.00573753	-0.0215896	12.7121010746362
NA12750	NA12750	0.00583369	-0.0241334	0.0221434	0.00888842	-0.103361	-0.000205411	-0.0151024	-0.0240692	0.00317911	0.0148796	11.0273991333935
NA12751	NA12751	-0.000288178	-0.0172323	0.0284444	0.0224466	-0.130096	0.0290579	0.00650961	0.0163331	0.0245886	0.0439215	13.6677268995324
NA12761	NA12761	0.00108728	-0.0212464	0.0224868	0.00621072	-0.112627	0.0106503	0.0165976	0.0495343	0.0221858	0.0694483	12.1270524178036
NA12763	NA12763	0.00373802	-0.0214412	0.0276027	0.00200248	-0.0927378	0.00246479	-0.00318825	0.0476549	0.0270415	-0.00685017	13.9948217308657
NA12775	NA12775	0.0181121	-0.020659	0.043683	0.00943981	-0.0482513	-0.0229978	-0.00835602	-0.0317308	0.0237871	0.0157826	11.8754870563821
NA12777	NA12777	0.0130012	-0.0236754	0.0501643	0.00946207	-0.0508039	0.0162133	-0.00529965	-0.0486644	-0.00280066	-0.0243664	15.5281563980125
NA12778	NA12778	0.0184642	-0.0153134	0.0351962	0.0266267	-0.059732	-0.0143697	-0.0280188	-0.0404278	0.0360037	-0.0492126	13.2178048707435
NA12812	NA12812	-0.0174009	-0.0122211	-0.101774	0.108593	0.0387071	-0.0218796	-0.120952	0.142813	0.154856	0.037467	15.2377835537397
NA12814	NA12814	-0.029293	-0.0115287	-0.118571	0.11337	0.0376452	-0.0154219	-0.117874	0.148637	0.141426	-0.0158425	14.453795054329
NA12815	NA12815	-0.015951	-0.0066377	-0.100899	0.101939	0.02848	-0.0258748	-0.0802534	0.159167	0.119939	0.0714412	15.2209356942423
NA12827	NA12827	0.00526141	-0.0231915	0.0295729	0.00179015	-0.118273	0.00833538	0.0396848	-0.0250214	0.032994	0.0811991	13.3182284850196
NA12829	NA12829	-0.00378922	-0.0289451	0.0319412	-0.0104706	-0.127944	0.00340975	-0.001655	-0.0193336	0.0135113	-0.0248923	10.3730842402116
NA12830	NA12830	0.00857602	-0.0296436	0.0401502	-0.0061057	-0.0644416	0.0142701	0.0125763	-0.020354	0.0707509	0.0197097	12.1719885371549
NA12842	NA12842	0.0122789	-0.0286249	0.0329611	-0.00185146	-0.0926598	0.00666785	0.0298882	-0.00655432	0.0127224	0.0646306	12.3373711407884
NA12843	NA12843	0.00987829	-0.0188827	0.0359535	-0.00431349	-0.0808505	0.00054438	-0.0233915	0.00253251	0.02132	0.0276184	13.2260833765754
NA12872	NA12872	-0.00122587	-0.0133384	-0.076539	0.101795	0.0470777	-0.0360982	-0.109293	0.137725	0.112579	0.0314031	11.4253451524648
NA12873	NA12873	-0.0264532	-0.00896032	-0.111158	0.098734	0.0466555	-0.0376108	-0.105586	0.158803	0.1457	-0.000293789	13.9517723422555
NA12874	NA12874	-0.00929891	-0.00990165	-0.0872926	0.105293	0.05476	-0.0300254	-0.121373	0.145313	0.151677	0.0207414	10.1065404494657
NA12889	NA12889	0.000702399	-0.0302389	0.0322488	-0.0163259	-0.0838983	0.0193858	-0.0326367	-0.0594575	0.0162052	0.00908835	11.9379191004596
NA12890	NA12890	-0.0115085	-0.0191236	0.0301403	0.0109572	-0.141964	0.00015782	-0.0194259	-0.0609118	-0.0199412	-0.100926	14.4328391083449
NA20502	NA20502	-0.0217805	-0.066668	-0.0708877	-0.0470798	0.02396	-0.00280436	0.00236623	0.0463786	-0.0874734	-0.0316586	13.2411195718651
NA20503	NA20503	-0.0416521	-0.05949	-0.0678193	-0.0494173	0.0197357	0.0141746	0.0236547	0.0314674	-0.0161133	0.0536029	16.4686671816136
NA20504	NA20504	-0.0428637	-0.064276	-0.0615589	-0.0493756	-0.0550828	0.0097768	0.0240795	0.00597035	-0.0559817	0.0261169	16.6141681857791
NA20505	NA20505	-0.0442906	-0.0623727	-0.0869693	-0.0399461	0.0110172	0.0125896	0.0243502	0.00201191	-0.00729778	-0.0238578	15.3409049891809
NA20506	NA20506	-0.0525982	-0.0636223	-0.0723739	-0.0426531	0.0101468	0.0358973	0.0152823	0.053176	-0.0912493	0.019372	11.5516988836804
NA20507	NA20507	-0.0340865	-0.0568717	-0.0681385	-0.0316253	0.0193847	0.000206317	0.0123617	-0.0272289	-0.0370855	-0.0420189	12.1724859471149
NA20508	NA20508	-0.0290299	-0.0588266	-0.0690324	-0.0266209	-0.00249234	-0.0023167	0.0328724	0.0115538	0.00120453	-0.0234508	14.197081214989
NA20509	NA20509	-0.0522427	-0.0617787	-0.0861443	-0.0272127	0.015118	-0.00300938	0.0169842	0.0182024	-0.0253554	0.0304633	11.3066686460082
NA20510	NA20510	-0.0258516	-0.0578246	-0.0943156	-0.0204356	0.046739	-0.000293787	0.0129789	-0.0143456	-0.0646116	0.00909533	15.6408802267578
NA20512	NA20512	-0.0490232	-0.0597748	-0.0836612	-0.0411789	0.0259125	0.00726965	0.0114075	0.0213017	-0.0192408	0.0388837	15.8632802863751
NA20513	NA20513	-0.0349667	-0.0661555	-0.0714689	-0.0391468	0.00539329	0.0148811	-0.0166853	-0.035735	-0.023916	-0.013031	14.5332694013824
NA20515	NA20515	-0.040561	-0.0604888	-0.0607589	-0.0460708	-0.0131746	0.00141105	-0.00969365	0.0309629	-0.058684	0.00292355	12.9575110258407
NA20516	NA20516	-0.0523819	-0.0653205	-0.0746548	-0.051942	0.0191157	0.0175172	-0.00648065	0.0646248	-0.0767827	-0.0657716	14.8631841302217
NA20517	NA20517	-0.0502248	-0.0650191	-0.0786533	-0.0406308	-0.000554781	0.0317301	0.0140279	-0.0221599	-0.0563095	-0.0113523	10.3286779594552
NA20518	NA20518	-0.0531221	-0.0547182	-0.0977703	-0.0260301	0.0165203	0.0183852	-0.0111856	0.0317918	-0.0548441	-0.0337866	12.6797144525179
NA20519	NA20519	-0.0709615	-0.0683039	-0.0746459	-0.0410518	-0.0236113	0.028254	0.0196839	0.00594985	-0.0109826	0.0377843	12.2344715199959
NA20520	NA20520	-0.0510566	-0.0604529	-0.0775495	-0.052591	0.000586141	0.0286048	0.0147304	0.0772771	-0.00664559	0.059151	13.4238193782005
NA20521	NA20521	-0.0274583	-0.0699009	-0.0443241	-0.0594867	0.0223603	0.0205252	0.0170743	-0.0209135	-0.0128155	0.022564	12.4881692069197
NA20524	NA20524	-0.0344264	-0.0595058	-0.0733746	-0.0420738	-0.0240498	-0.00790095	0.00230824	-0.0371421	-0.0133047	0.0649336	16.2391649728648
NA20525	NA20525	-0.0422145	-0.0651102	-0.0748266	-0.0428215	-0.0163643	0.0294275	0.0262599	0.0151376	-0.00523918	0.027883	12.8753910431298
NA20527	NA20527	-0.0422438	-0.0610122	-0.0825075	-0.0285877	0.000228399	0.0201934	-0.00155031	0.0163272	-0.0892312	-0.0191086	11.6170837851013
NA20528	NA20528	-0.0523657	-0.0675542	-0.0989059	-0.0334198	0.000400698	0.017625	-0.0112872	0.0132594	-0.0414855	0.0132312	10.5546848101999
NA20529	NA20529	-0.0450232	-0.0623907	-0.0665115	-0.0495794	-0.0111631	0.0100504	-0.00488685	0.0119023	-0.0379627	-0.0304678	13.2850142418942
NA20530	NA20530	-0.0334851	-0.0623314	-0.0711995	-0.0355231	-0.0187555	0.0172287	0.0415597	0.0240933	-0.0336042	0.0570511	8.60080673046744
NA20531	NA20531	-0.0591207	-0.0688144	-0.099912	-0.0572654	-0.00810327	0.0328131	0.00352385	0.0234521	-0.0112439	0.00809343	10.3208099951713
NA20532	NA20532	-0.0303122	-0.0641213	-0.0594126	-0.04326	0.0329948	0.00489693	0.0185075	-0.030246	-0.0110728	0.0391513	14.6713979474125
NA20534	NA20534	-0.0251215	-0.0577131	-0.081256	-0.0198566	0.0410453	0.0162606	-0.0243497	-0.0126309	-0.0623005	-0.0459907	12.1961887724267
NA20535	NA20535	-0.0355747	-0.0571916	-0.0706407	-0.019528	0.0044263	0.0118234	-0.00206289	0.0147016	-7.34606e-05	0.0127929	13.7298224732225
NA20536	NA20536	-0.0657725	-0.0618514	-0.0641929	-0.0489025	-0.00135315	0.0248907	0.065664	0.0257229	-0.0324527	0.0785891	13.6061752669784
NA20537	NA20537	-0.0473623	-0.066825	-0.0492413	-0.0679305	0.00766841	0.0038715	0.0551158	0.00235472	-0.0177312	0.0322679	12.6404380877797
NA20538	NA20538	-0.0515905	-0.0621842	-0.122169	-0.0165647	0.0623377	-0.00177959	-0.00817557	0.0174735	-0.00316702	0.0326526	10.8435915839504
NA20539	NA20539	-0.0614228	-0.0691994	-0.0818656	-0.0423722	0.00622086	0.0338341	-0.00616418	0.0768799	-0.00326131	-0.0253282	14.467359887121
NA20540	NA20540	-0.0340098	-0.0665594	-0.0714015	-0.0308502	-0.00384277	0.0178176	0.0303913	-0.0523424	-0.0342147	0.0493065	12.5903588602985
NA20541	NA20541	-0.0475389	-0.0672871	-0.105599	-0.0292142	0.0204167	0.016017	0.0450071	0.0527787	0.00748546	0.0309525	12.4552237598688
NA20542	NA20542	0.00394833	-0.0598959	0.0162599	-0.0544725	-0.00981147	0.00828442	-0.0172033	0.0471804	-0.0180524	-0.0732518	11.1561007600758
NA20543	NA20543	0.00480579	-0.0604567	0.0169064	-0.0526486	-0.0126599	0.0314863	-0.00235658	0.0691726	-0.0191684	0.0174609	13.7621493862639
NA20544	NA20544	-0.00112634	-0.0614105	0.00944623	-0.0662796	-0.023897	-0.0154604	0.000257942	0.0201349	0.0214822	0.0173539	13.820013054233
NA20581	NA20581	0.0265311	-0.0558437	0.0237109	-0.0555521	0.072924	-0.00944536	-0.00521339	-0.0307323	0.000720975	-0.0124675	12.9245876725209
NA20582	NA20582	0.00809641	-0.0564326	0.0112544	-0.0595155	0.00115186	-0.000676593	-0.00983695	0.0116971	0.00610373	0.0128007	12.9049253826408
NA20585	NA20585	0.00591962	-0.0591907	0.00769129	-0.0601794	-0.00776219	0.0211113	-0.0431509	0.0529205	0.0111518	-0.0520025	12.0091027302066
NA20586	NA20586	0.0430488	-0.0445587	-0.00958639	-0.0187391	0.164638	-0.00540337	0.013292	0.00918091	0.00662269	0.0553415	11.2863161654283
NA20588	NA20588	0.0100523	-0.0595362	0.0148087	-0.0532284	0.014156	-0.00339302	-0.0182172	0.0579157	0.039163	0.0415467	12.0948422611577
NA20589	NA20589	0.0202478	-0.0552673	0.00629479	-0.0499944	0.0389646	-0.00155515	-0.0299005	0.0173005	-0.0256224	-0.0717331	11.0811551953088
NA20752	NA20752	0.00967651	-0.0637223	0.0101304	-0.0531739	0.0205427	0.00408996	-0.0183544	-0.00635464	-0.0125823	-0.02422	11.4919787902283
NA20754	NA20754	0.0108929	-0.0571255	0.00478723	-0.0545926	0.0291972	0.0175196	-0.0264835	0.043846	-0.0180616	-0.0185558	13.8099261917215
NA20756	NA20756	-0.0071068	-0.0588554	0.0110489	-0.076743	-0.0448452	0.000675669	-0.0509307	0.0441901	-0.0825694	-0.0509566	10.9758750267229
NA20757	NA20757	0.0198338	-0.056814	0.0252082	-0.0597181	0.0358924	0.00943144	-0.0294855	-0.0676366	0.0311706	-0.0138556	11.159798709854
NA20758	NA20758	0.0214812	-0.0552312	0.019197	-0.0614419	0.0608693	-0.00276915	0.0268633	0.0473419	0.00104317	0.0176458	12.8104679155364
NA20759	NA20759	0.0143137	-0.059279	0.0294784	-0.0610382	0.034002	-0.00782365	-0.0256483	0.0142057	-0.0243624	-0.0488006	12.9863791338747
NA20760	NA20760	0.0273157	-0.0527369	0.0222669	-0.0473454	0.0558148	-0.0229361	0.0405545	-0.0507332	0.0362321	0.0515001	11.8095509077255
NA20761	NA20761	0.016731	-0.057579	0.0219124	-0.0676137	0.0255433	-0.0182089	-0.0158988	0.0235638	-0.0364059	-0.039705	10.0953213682964
NA20765	NA20765	0.0163682	-0.0595899	0.0248241	-0.0806674	0.0323403	-0.00355991	-0.0230057	-0.0184332	0.00384974	-0.0148283	12.0972199462255
NA20766	NA20766	0.0130237	-0.0584981	0.0354585	-0.0668577	0.0419093	-0.0157576	0.00133499	0.00245994	0.0282273	-0.001321	11.1803397051962
NA20768	NA20768	0.0188045	-0.0615269	0.026577	-0.0728811	0.0577521	-0.00463722	0.0396865	-0.0450862	0.0725686	0.0564007	10.7458564949934
NA20769	NA20769	0.0247493	-0.0594874	0.0260174	-0.0651802	0.092793	-0.017484	0.00112893	-0.00147598	0.0420704	-0.0114128	10.8769110377667
NA20770	NA20770	0.00932995	-0.0670068	0.0322355	-0.0843295	0.0430023	-0.00100834	-0.00701472	-0.0423029	0.0490815	0.003888	13.6044821825649
NA20771	NA20771	0.0101051	-0.0642251	0.0340507	-0.0798779	0.0327976	-0.00427715	-0.00691379	-0.00150341	0.011617	-0.0380097	16.3779876071668
NA20772	NA20772	0.0170219	-0.0642162	0.0286476	-0.0732773	0.0412653	-0.0154995	0.0065979	-0.0238412	0.0638078	0.0208128	14.8505923331327
NA20773	NA20773	0.0132218	-0.0602734	0.039929	-0.084661	0.0268816	0.00553539	0.0168384	0.010989	0.00809571	-0.010149	10.424020034905
